Distrito,m^2,Habitaciones,Precios
Gràcia,85,4,320000
Gràcia,85,4,319000
Gràcia,92,4,390000
Horta-Guinardó,85,3,319000
Gràcia,107,2,650000
Eixample,56,3,194000
Sants-Montjuïc,127,4,540000
Sarrià-Sant Gervasi,285,5,1260000
Horta-Guinardó,42,2,79000
Ciutat Vella,77,3,195000
Eixample,185,4,365000
Les Corts,78,4,219000
Sarrià-Sant Gervasi,125,4,495000
Sarrià-Sant Gervasi,165,5,655000
Eixample,108,3,409000
Eixample,157,5,530000
Les Corts,80,3,395000
Eixample,180,3,1200000
Les Corts,70,3,360000
Eixample,70,3,255000
Gràcia,70,2,239000
Eixample,56,2,209000
Eixample,155,5,595000
Gràcia,78,3,255000
Nou Barris,137,4,265000
Eixample,58,2,205000
Sant Martí,74,3,233000
Sant Andreu,79,3,219000
Sant Martí,96,4,325000
Sarrià-Sant Gervasi,114,2,500000
Ciutat Vella,100,5,358000
Les Corts,289,6,1200000
Gràcia,88,4,350000
Eixample,69,3,340000
Sarrià-Sant Gervasi,93,3,375000
Les Corts,716,7,3390000
Sants-Montjuïc,97,4,340000
Les Corts,145,5,1220000
Sants-Montjuïc,120,3,463000
Les Corts,227,5,1095000
Horta-Guinardó,55,3,130000
Sarrià-Sant Gervasi,143,3,900000
Sarrià-Sant Gervasi,319,7,1350000
Gràcia,196,4,595000
Sarrià-Sant Gervasi,121,3,562000
Eixample,106,5,370000
Sarrià-Sant Gervasi,246,5,990000
Sant Andreu,70,3,199000
Ciutat Vella,39,2,130000
Eixample,93,2,450000
Sarrià-Sant Gervasi,120,3,445000
Sant Andreu,102,4,255000
Sants-Montjuïc,87,2,299000
Eixample,47,2,210000
Eixample,47,2,210000
Eixample,110,3,250000
Sants-Montjuïc,83,2,255000
Sants-Montjuïc,72,3,260000
Sarrià-Sant Gervasi,120,3,495000
Gràcia,88,4,375000
Les Corts,76,3,430000
Gràcia,74,2,325000
Gràcia,69,3,240000
Sarrià-Sant Gervasi,258,5,1050000
Eixample,81,2,490000
Gràcia,72,3,265000
Sarrià-Sant Gervasi,690,10,3950000
Ciutat Vella,55,2,155000
Eixample,70,3,365000
Eixample,90,4,239000
Sants-Montjuïc,64,3,220000
Ciutat Vella,58,3,140000
Eixample,129,3,599000
Sarrià-Sant Gervasi,120,4,595000
Ciutat Vella,114,4,335000
Les Corts,95,4,430000
Eixample,117,4,410000
Eixample,134,4,395000
Nou Barris,76,2,125000
Les Corts,125,4,550000
Eixample,228,7,2200000
Eixample,200,6,710000
Sarrià-Sant Gervasi,150,3,550000
Sarrià-Sant Gervasi,150,5,410000
Sants-Montjuïc,64,3,190000
Eixample,140,4,550000
Horta-Guinardó,145,3,259000
Sarrià-Sant Gervasi,90,3,410000
Sant Martí,84,3,330000
Sarrià-Sant Gervasi,391,7,1690000
Eixample,129,3,550000
Gràcia,80,2,320000
Sarrià-Sant Gervasi,320,5,1750000
Eixample,158,6,680000
Eixample,153,6,650000
Sant Andreu,64,3,179900
Eixample,184,7,780000
Eixample,176,4,750000
Eixample,261,8,978000
Gràcia,317,5,699000
Sant Martí,192,5,549000
Eixample,141,5,622000
Sants-Montjuïc,47,3,199900
Eixample,90,3,400000
Gràcia,118,4,550000
Sarrià-Sant Gervasi,132,3,498000
Ciutat Vella,85,3,239000
Eixample,82,3,350000
Eixample,87,3,570000
Ciutat Vella,212,4,850000
Eixample,130,3,520000
Ciutat Vella,175,6,635000
Les Corts,58,3,450000
Les Corts,136,4,890000
Sarrià-Sant Gervasi,121,4,465000
Nou Barris,70,3,155000
Gràcia,136,4,475000
Sarrià-Sant Gervasi,145,5,790000
Sarrià-Sant Gervasi,188,4,599000
Eixample,87,3,330000
Sant Andreu,65,3,185000
Horta-Guinardó,297,10,795000
Sarrià-Sant Gervasi,123,4,690000
Horta-Guinardó,142,5,450000
Ciutat Vella,139,5,657000
Sarrià-Sant Gervasi,335,5,2850000
Sarrià-Sant Gervasi,137,4,550000
Les Corts,65,3,385000
Sarrià-Sant Gervasi,650,7,2300000
Ciutat Vella,235,3,712500
Sarrià-Sant Gervasi,274,6,1670000
Sant Martí,65,3,210000
Eixample,196,6,900000
Sant Martí,50,2,175000
Sarrià-Sant Gervasi,143,2,900000
Gràcia,80,3,310000
Eixample,90,4,325000
Ciutat Vella,55,2,175000
Eixample,97,4,367000
Eixample,86,2,302000
Les Corts,129,3,718500
Ciutat Vella,73,3,290000
Eixample,104,3,345000
Ciutat Vella,80,3,210000
Ciutat Vella,204,4,780000
Sarrià-Sant Gervasi,217,5,990000
Eixample,157,4,545000
Ciutat Vella,114,4,340000
Eixample,85,1,460000
Nou Barris,76,2,125000
Eixample,80,3,295000
Eixample,116,3,550000
Les Corts,73,3,435000
Ciutat Vella,150,2,830000
Ciutat Vella,114,3,350000
Les Corts,73,3,460000
Sants-Montjuïc,85,4,310000
Sarrià-Sant Gervasi,257,6,800000
Ciutat Vella,549,6,1950000
Sant Martí,99,4,378000
Sarrià-Sant Gervasi,100,3,550000
Sarrià-Sant Gervasi,120,4,650000
Les Corts,74,3,430000
Les Corts,73,2,460000
Eixample,81,2,480000
Sarrià-Sant Gervasi,123,5,740000
Sarrià-Sant Gervasi,250,7,1000000
Eixample,220,5,620000
Nou Barris,74,1,87000
Sant Andreu,74,1,156000
Sants-Montjuïc,120,4,391000
Sants-Montjuïc,77,4,285000
Sarrià-Sant Gervasi,110,4,495000
Sant Andreu,69,3,186000
Gràcia,66,4,229000
Eixample,46,3,185000
Nou Barris,54,3,125000
Eixample,130,4,699000
Sant Andreu,104,3,295000
Eixample,87,3,570000
Ciutat Vella,212,4,850000
Sarrià-Sant Gervasi,154,5,460000
Sant Martí,80,2,325000
Eixample,250,5,790000
Eixample,35,2,190000
Sant Martí,90,3,250000
Eixample,142,4,750000
Horta-Guinardó,67,3,155000
Les Corts,146,4,520000
Eixample,337,6,1060000
Horta-Guinardó,55,3,149000
Sant Martí,154,1,390000
Eixample,141,5,670000
Sant Andreu,200,7,279900
Eixample,132,4,598000
Les Corts,73,4,350000
Sants-Montjuïc,20,1,90000
Ciutat Vella,85,2,480000
Ciutat Vella,54,1,142500
Ciutat Vella,70,2,280000
Ciutat Vella,61,1,250000
Eixample,76,3,570000
Les Corts,178,4,1150000
Eixample,89,4,350000
Eixample,124,4,390000
Sarrià-Sant Gervasi,185,5,1390000
Sant Martí,67,3,205000
Horta-Guinardó,123,4,270000
Eixample,210,4,1195000
Eixample,136,5,470000
Eixample,110,3,469000
Ciutat Vella,40,2,96000
Ciutat Vella,50,2,200000
Les Corts,447,8,2100000
Sant Martí,69,3,299000
Sarrià-Sant Gervasi,91,4,520000
Sant Andreu,74,3,279000
Ciutat Vella,94,4,325000
Eixample,85,3,470000
Eixample,157,5,505000
Eixample,79,3,330000
Eixample,65,3,300000
Eixample,133,3,900000
Ciutat Vella,94,4,325000
Sarrià-Sant Gervasi,121,3,365000
Les Corts,300,6,1500000
Eixample,216,6,899000
Sant Andreu,64,3,199900
Eixample,112,3,390000
Eixample,155,7,550000
Gràcia,70,4,255000
Les Corts,74,3,435000
Sants-Montjuïc,86,4,300000
Sarrià-Sant Gervasi,168,5,750000
Eixample,224,4,798000
Les Corts,106,3,520000
Sant Martí,110,4,235000
Sant Andreu,74,3,161500
Sarrià-Sant Gervasi,285,6,1780000
Sarrià-Sant Gervasi,130,4,580000
Sant Martí,74,4,241000
Sarrià-Sant Gervasi,98,4,365000
Eixample,117,5,499000
Sants-Montjuïc,92,3,285000
Eixample,105,2,400000
Eixample,70,3,340000
Sant Martí,67,3,199000
Les Corts,80,3,240000
Sant Martí,90,3,315000
Les Corts,73,3,435000
Les Corts,181,6,928800
Eixample,250,5,1150000
Eixample,79,3,450000
Eixample,77,2,450000
Les Corts,73,3,430000
Sants-Montjuïc,83,4,270000
Eixample,79,3,440000
Eixample,196,4,595000
Eixample,88,2,240000
Ciutat Vella,82,3,248000
Eixample,98,4,340000
Sants-Montjuïc,68,3,152000
Sant Martí,50,2,260000
Nou Barris,65,3,189000
Sant Martí,66,3,214900
Eixample,134,4,490000
Sants-Montjuïc,68,3,179000
Sants-Montjuïc,75,3,195000
Sarrià-Sant Gervasi,118,4,560000
Sant Martí,75,4,183000
Sant Andreu,89,4,260000
Eixample,350,4,390000
Ciutat Vella,240,4,1190000
Gràcia,84,3,399000
Les Corts,148,5,590000
Sant Martí,93,4,278000
Eixample,188,5,580000
Sant Martí,70,3,230000
Sants-Montjuïc,78,3,177000
Sants-Montjuïc,51,2,150000
Sants-Montjuïc,86,3,200000
Les Corts,69,3,435000
Gràcia,59,2,198000
Sants-Montjuïc,110,5,540000
Les Corts,69,3,430000
Les Corts,70,3,415000
Sarrià-Sant Gervasi,73,3,375000
Eixample,130,4,480000
Eixample,80,2,455000
Sarrià-Sant Gervasi,140,4,790000
Sarrià-Sant Gervasi,95,2,340000
Ciutat Vella,130,3,450000
Eixample,80,4,325000
Sarrià-Sant Gervasi,145,5,790000
Sarrià-Sant Gervasi,145,5,790000
Nou Barris,55,3,189000
Eixample,113,5,460000
Eixample,89,4,385000
Ciutat Vella,50,3,184000
Sants-Montjuïc,72,2,174000
Gràcia,52,3,228000
Eixample,95,3,410000
Eixample,200,7,680000
Sarrià-Sant Gervasi,77,3,365000
Nou Barris,51,1,118000
Les Corts,49,2,210000
Nou Barris,53,2,49000
Ciutat Vella,55,2,215000
Sants-Montjuïc,77,3,224000
Gràcia,74,2,349000
Horta-Guinardó,161,5,490000
Sants-Montjuïc,95,4,280000
Ciutat Vella,77,1,250000
Les Corts,74,3,435000
Sarrià-Sant Gervasi,387,7,1850000
Les Corts,70,3,395000
Eixample,172,5,695000
Eixample,159,4,530000
Sarrià-Sant Gervasi,152,4,575000
Sarrià-Sant Gervasi,291,5,1190000
Ciutat Vella,131,3,619000
Eixample,140,5,620000
Sant Martí,79,4,195000
Sants-Montjuïc,131,4,315000
Sant Martí,78,2,185000
Gràcia,108,2,195000
Gràcia,93,4,370000
Sants-Montjuïc,85,3,275000
Sarrià-Sant Gervasi,247,5,1250000
Ciutat Vella,71,2,175000
Sants-Montjuïc,110,5,350000
Sarrià-Sant Gervasi,90,4,415000
Sarrià-Sant Gervasi,90,4,415000
Sarrià-Sant Gervasi,60,2,315000
Sarrià-Sant Gervasi,60,2,315000
Sarrià-Sant Gervasi,60,2,315000
Sant Martí,100,4,420000
Sarrià-Sant Gervasi,100,4,395000
Sarrià-Sant Gervasi,100,4,395000
Sants-Montjuïc,73,4,95000
Sarrià-Sant Gervasi,500,5,1150000
Les Corts,87,3,360000
Sarrià-Sant Gervasi,339,6,1350000
Sarrià-Sant Gervasi,327,10,2450000
Sarrià-Sant Gervasi,225,4,1350000
Horta-Guinardó,88,3,285000
Sarrià-Sant Gervasi,83,1,460000
Sarrià-Sant Gervasi,338,6,1380000
Eixample,250,5,1100000
Sarrià-Sant Gervasi,93,4,460000
Sarrià-Sant Gervasi,372,5,1880000
Ciutat Vella,76,3,325000
Sant Martí,72,3,165000
Sant Martí,70,4,290000
Ciutat Vella,65,2,185000
Eixample,135,2,650000
Eixample,70,2,190000
Horta-Guinardó,89,3,280000
Gràcia,132,5,330000
Sarrià-Sant Gervasi,144,4,520000
Sarrià-Sant Gervasi,160,4,980000
Ciutat Vella,70,2,380000
Eixample,76,3,335000
Sarrià-Sant Gervasi,183,4,1070000
Sant Andreu,88,3,230000
Nou Barris,68,3,198000
Sant Martí,60,3,245000
Eixample,67,3,219000
Ciutat Vella,63,2,198000
Sant Andreu,66,3,195000
Sant Martí,67,4,195000
Eixample,93,4,390000
Ciutat Vella,36,1,135000
Gràcia,68,4,190000
Les Corts,63,3,415000
Sants-Montjuïc,76,3,360000
Ciutat Vella,66,3,210000
Eixample,50,3,210000
Sant Martí,75,3,195000
Ciutat Vella,89,2,480000
Eixample,85,3,379000
Sarrià-Sant Gervasi,168,5,640000
Ciutat Vella,129,4,419000
Eixample,79,4,255000
Sarrià-Sant Gervasi,258,6,1100000
Sants-Montjuïc,68,1,280000
Ciutat Vella,42,1,112000
Sant Andreu,59,3,189000
Eixample,150,5,540000
Eixample,115,4,550000
Gràcia,85,2,185000
Eixample,75,4,325000
Sarrià-Sant Gervasi,150,2,900000
Ciutat Vella,137,4,480000
Les Corts,159,6,928800
Eixample,135,5,450000
Ciutat Vella,50,1,210000
Eixample,89,3,275000
Eixample,70,3,258000
Eixample,67,3,252000
Sant Martí,56,2,160000
Horta-Guinardó,100,2,250000
Sarrià-Sant Gervasi,114,4,460000
Sant Martí,69,4,279000
Sarrià-Sant Gervasi,126,5,480000
Gràcia,105,2,470000
Sarrià-Sant Gervasi,92,3,290000
Sarrià-Sant Gervasi,179,4,780000
Horta-Guinardó,184,6,399000
Sant Martí,55,2,120000
Sants-Montjuïc,83,3,288000
Eixample,128,3,600000
Eixample,70,3,250000
Eixample,70,3,193000
Ciutat Vella,79,2,155000
Ciutat Vella,77,2,175000
Ciutat Vella,45,2,80000
Ciutat Vella,50,3,118000
Les Corts,75,3,295000
Sants-Montjuïc,137,3,640000
Ciutat Vella,132,5,500000
Horta-Guinardó,53,3,131000
Eixample,89,4,380000
Ciutat Vella,50,3,107000
Sarrià-Sant Gervasi,88,2,410000
Horta-Guinardó,70,2,168000
Horta-Guinardó,330,5,490000
Les Corts,63,3,360000
Les Corts,605,9,4500000
Sarrià-Sant Gervasi,115,3,530000
Sarrià-Sant Gervasi,339,5,1600000
Gràcia,86,3,300000
Sant Martí,86,4,280000
Ciutat Vella,63,4,149000
Eixample,241,8,980000
Nou Barris,40,1,76000
Sant Martí,93,3,296640
Sant Martí,70,3,215000
Sant Martí,136,3,690000
Sant Martí,80,4,325000
Eixample,160,5,690000
Sant Andreu,60,3,195000
Sarrià-Sant Gervasi,374,6,1880000
Eixample,116,6,550000
Eixample,90,4,432000
Sant Andreu,153,5,369000
Sant Andreu,103,3,230000
Sant Martí,56,2,251000
Eixample,157,5,532000
Eixample,180,6,1570000
Nou Barris,86,3,189900
Sant Andreu,89,3,228000
Sant Martí,100,4,292000
Sarrià-Sant Gervasi,131,5,450000
Eixample,156,4,525000
Eixample,304,6,1050000
Eixample,90,4,370000
Ciutat Vella,93,3,230000
Eixample,110,3,465000
Nou Barris,61,2,103000
Gràcia,66,3,137000
Eixample,100,3,469000
Eixample,104,4,320000
Les Corts,90,3,395000
Sant Andreu,83,4,237000
Eixample,65,4,350000
Ciutat Vella,35,1,129000
Ciutat Vella,65,3,225000
Sants-Montjuïc,150,5,380000
Ciutat Vella,59,2,215000
Sant Martí,102,4,255000
Les Corts,72,3,280000
Les Corts,105,4,395000
Ciutat Vella,95,3,350000
Sarrià-Sant Gervasi,139,5,495000
Sant Martí,68,3,215000
Ciutat Vella,110,2,329000
Sants-Montjuïc,76,2,170000
Ciutat Vella,250,9,679000
Eixample,87,4,399500
Ciutat Vella,70,2,220000
Sant Martí,63,2,168000
Sants-Montjuïc,126,4,359000
Eixample,162,5,752000
Eixample,225,3,800000
Eixample,130,4,530000
Gràcia,72,4,230000
Sarrià-Sant Gervasi,100,4,395000
Eixample,159,4,789000
Eixample,47,1,149000
Ciutat Vella,264,5,1105300
Sants-Montjuïc,97,4,330000
Les Corts,73,2,435000
Sarrià-Sant Gervasi,144,6,900000
Eixample,197,4,990000
Gràcia,71,2,255000
Nou Barris,127,4,200000
Sarrià-Sant Gervasi,85,4,415000
Eixample,90,3,325000
Nou Barris,43,2,147500
Sants-Montjuïc,71,3,265000
Les Corts,598,3,2490000
Ciutat Vella,180,5,799000
Sant Martí,253,5,655000
Eixample,83,2,455000
Ciutat Vella,103,4,190000
Sant Martí,80,4,295000
Eixample,53,3,180000
Sarrià-Sant Gervasi,170,6,820000
Sant Martí,74,3,214900
Sant Andreu,74,4,205000
Sants-Montjuïc,60,3,180000
Sarrià-Sant Gervasi,183,4,900001
Ciutat Vella,60,2,220000
Horta-Guinardó,70,3,198000
Sants-Montjuïc,60,4,137000
Gràcia,90,3,270000
Sarrià-Sant Gervasi,169,5,642000
Sant Andreu,83,4,215000
Eixample,305,6,1050000
Les Corts,79,3,279000
Les Corts,93,3,395000
Gràcia,90,3,270000
Eixample,100,2,190000
Gràcia,95,3,380000
Les Corts,97,4,399000
Eixample,140,3,439000
Eixample,82,3,340000
Horta-Guinardó,115,3,270000
Eixample,109,4,360000
Sants-Montjuïc,95,4,225000
Sarrià-Sant Gervasi,200,3,1200000
Gràcia,80,3,269000
Sants-Montjuïc,37,2,165000
Eixample,95,4,298000
Eixample,110,4,530000
Nou Barris,87,4,189000
Sants-Montjuïc,62,2,159000
Sarrià-Sant Gervasi,108,4,370000
Sarrià-Sant Gervasi,270,5,1250000
Les Corts,99,4,320000
Nou Barris,160,3,150000
Horta-Guinardó,74,2,149000
Gràcia,165,4,559000
Sant Andreu,68,3,230000
Horta-Guinardó,64,3,155000
Eixample,94,3,470000
Eixample,185,5,699000
Sants-Montjuïc,66,1,169000
Eixample,110,4,435000
Sarrià-Sant Gervasi,185,5,1390000
Eixample,73,2,470000
Nou Barris,60,3,119500
Sants-Montjuïc,53,2,137000
Ciutat Vella,60,2,169000
Sant Martí,52,2,95000
Sarrià-Sant Gervasi,80,3,420000
Gràcia,65,2,280000
Sants-Montjuïc,87,3,289000
Eixample,79,3,440000
Les Corts,73,3,425000
Eixample,79,3,450000
Sarrià-Sant Gervasi,160,4,750000
Sant Martí,51,2,210000
Eixample,120,4,500000
Eixample,96,3,419000
Sarrià-Sant Gervasi,743,7,4500000
Eixample,90,3,385000
Sarrià-Sant Gervasi,95,2,595000
Gràcia,64,1,295000
Ciutat Vella,99,3,420000
Les Corts,127,4,545000
Sant Martí,64,3,170000
Ciutat Vella,70,4,178800
