Distrito,m^2,Habitaciones,Precios
Gràcia,191,4,2300000
Gràcia,109,4,529000
Sant Martí,72,2,395000
Eixample,145,4,760000
Eixample,74,2,495000
Ciutat Vella,134,2,449000
Eixample,189,3,930000
Sarrià-Sant Gervasi,139,3,1150000
Eixample,57,2,345000
Eixample,106,3,699000
Eixample,198,5,790000
Sarrià-Sant Gervasi,120,3,649999
Eixample,197,5,990000
Eixample,70,3,289000
Eixample,83,3,330000
Sarrià-Sant Gervasi,92,3,399000
Horta-Guinardó,75,2,215000
Sant Martí,100,2,499900
Eixample,120,4,545000
Sant Martí,201,5,860000
Sant Andreu,78,3,178000
Horta-Guinardó,53,3,185000
Horta-Guinardó,71,2,260000
Eixample,100,3,469000
Sant Andreu,70,3,256000
Sants-Montjuïc,420,4,1450000
Sant Andreu,62,2,129000
Ciutat Vella,72,3,335000
Sants-Montjuïc,103,4,422000
Sants-Montjuïc,107,3,399000
